NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,주소,경도,위도
1224,서울특별시 강서구 가양동,1475,1475,0,강변,34.44,201309,27,"15,900",2,1992,허준로 139,서울특별시 강서구 가양동 1475,126.855667621933,37.5652163063579
1225,서울특별시 강서구 등촌동,702,702,0,주공10,37.67,201309,27,"18,000",15,1995,화곡로63가길 71,서울특별시 강서구 등촌동 702,126.848366667212,37.5623617210231
1226,서울특별시 강서구 등촌동,707,707,0,"등촌7,8단지주공아파트",41.85,201309,27,"20,300",7,1994,공항대로43길 104,서울특별시 강서구 등촌동 707,126.851687961989,37.56080406349
1227,서울특별시 강서구 등촌동,515-41,515,41,신세계,84.95,201309,27,"25,500",8,2001,등촌로39길 63-36,서울특별시 강서구 등촌동 515-41,126.858417431472,37.546961565902
1228,서울특별시 강서구 염창동,240-32,240,32,금호타운,59.88,201309,27,"31,700",6,1999,양천로 595,서울특별시 강서구 염창동 240-32,126.865134525013,37.5563178192884
1229,서울특별시 강서구 마곡동,429,429,0,벽산,114.96,201309,27,"38,500",15,1999,양천로47길 118,서울특별시 강서구 마곡동 429,126.837836153319,37.5757346149338
1230,서울특별시 강서구 화곡동,925-5,925,5,풍원팰리스,43.8,201309,27,"19,900",6,2012,곰달래로20길 18,서울특별시 강서구 화곡동 925-5,126.842681024569,37.5293938746788
1231,서울특별시 강서구 화곡동,925-5,925,5,풍원팰리스,43.8,201309,27,"19,700",4,2012,곰달래로20길 18,서울특별시 강서구 화곡동 925-5,126.842681024569,37.5293938746788
1232,서울특별시 강서구 방화동,804,804,0,방화동진로아파트,84.96,201309,27,"30,000",5,1994,금낭화로 258,서울특별시 강서구 방화동 804,126.80843408324,37.577043495555
1233,서울특별시 강서구 마곡동,716,716,0,한솔솔파크,59.81,201309,27,"30,000",7,2005,양천로30길 77,서울특별시 강서구 마곡동 716,126.82331418689,37.569719911244
1234,서울특별시 강서구 화곡동,24-90,24,90,근상프리즘,79.55,201309,27,"28,500",10,2007,화곡로 242,서울특별시 강서구 화곡동 24-90,126.845706340059,37.5464706346225
1235,서울특별시 강서구 화곡동,102-90,102,90,오케이A,34.22,201309,27,"11,800",4,2002,까치산로4길 98-25,서울특별시 강서구 화곡동 102-90,126.84620315719,37.5385710551604
1236,서울특별시 강서구 마곡동,717,717,0,마곡금호어울림,84.948,201309,27,"37,400",15,2005,양천로47길 94,서울특별시 강서구 마곡동 717,126.837612448089,37.5745942801032
1237,서울특별시 강서구 마곡동,1467,1467,0,마곡우림필유아파트,84.528,201309,26,"31,000",2,2003,양천로28길 29,서울특별시 강서구 마곡동 1467,126.821349834096,37.5717925752818
1238,서울특별시 강서구 방화동,832,832,0,청솔,39.36,201309,26,"17,500",12,1994,방화대로47길 55,서울특별시 강서구 방화동 832,126.812965285254,37.5756309765944
1239,서울특별시 강서구 염창동,300,300,0,강변한솔솔파크,84.97,201309,26,"40,500",4,2005,양천로63길 38,서울특별시 강서구 염창동 300,126.866552401948,37.5566842439508
1240,서울특별시 강서구 방화동,867,867,0,길성그랑프리텔,84.05,201309,26,"33,000",12,2002,방화대로 319,서울특별시 강서구 방화동 867,126.816100583063,37.569183074574
1241,서울특별시 강서구 방화동,875,875,0,방화동동부센트레빌(875번지),114.99,201309,26,"48,000",10,2003,방화대로45길 32,서울특별시 강서구 방화동 875,126.814976041476,37.574703238848
1242,서울특별시 강서구 염창동,291,291,0,현대3,59.92,201309,26,"25,200",15,1996,양천로75길 60,서울특별시 강서구 염창동 291,126.876169884889,37.5519821461266
1243,서울특별시 강서구 염창동,249-11,249,11,현대2,82.74,201309,26,"29,900",2,1993,양천로73길 6,서울특별시 강서구 염창동 249-11,126.872798397714,37.5510408939318
1244,서울특별시 강서구 염창동,293,293,0,한강동아,84.96,201309,26,"35,300",13,1998,양천로73길 80,서울특별시 강서구 염창동 293,126.874209750249,37.5539729003829
1245,서울특별시 강서구 화곡동,1158,1158,0,우장산에스케이뷰,84.97,201309,26,"37,000",4,2006,우현로 26,서울특별시 강서구 화곡동 1158,126.843036379253,37.5481776604121
1246,서울특별시 강서구 화곡동,1091,1091,0,화곡푸르지오,156.876,201309,26,"63,000",7,2002,화곡로13길 107,서울특별시 강서구 화곡동 1091,126.831442765438,37.5446220190794
1247,서울특별시 강서구 화곡동,914-3,914,3,일성스카이빌,76.32,201309,26,"22,500",10,2001,강서로5나길 50,서울특별시 강서구 화곡동 914-3,126.845400642882,37.5287942460564
1248,서울특별시 강서구 화곡동,361-1,361,1,대림e편한세상,110.26,201309,26,"43,000",9,1992,월정로 160,서울특별시 강서구 화곡동 361-1,126.837356988102,37.5336462319505
1249,서울특별시 강서구 등촌동,635-6,635,6,나성,59.826,201309,26,"27,000",5,2003,화곡로66길 173,서울특별시 강서구 등촌동 635-6,126.862506562463,37.5546194723902
1250,서울특별시 강서구 가양동,1461,1461,0,가양2단지(성지),49.56,201309,25,"22,500",5,1992,허준로 47,서울특별시 강서구 가양동 1461,126.847174411361,37.5704957193283
1251,서울특별시 강서구 등촌동,715,715,0,등촌동아이파크,134.9883,201309,25,"64,000",12,2004,등촌로 163,서울특별시 강서구 등촌동 715,126.859981715413,37.5439005769284
