자치구,법정동,사업구분,운영구분,진행단계,상태,토지등 소유자 수,정비구역면적(㎡),건축연면적(㎡),용도지역,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,임대세대총수,분양세대규모별분포,임대세대규모별분포
강북구,미아동,재개발(도시정비형),추진위원회,조합설립추진위원회승인,일시중단,91,128.7,89665.22,일반상업지역,9186.0,3300.0,377.0,0.0,0.0,0.0,7.0,공동주택업무판매근린생활,53.17,589.0,100.0,27.0,5.0,208,20,208.0,20.0
강북구,미아동,재개발(도시정비형),조합,조합설립인가,일시중단,70,18958.0,189446.0,일반상업지역 준주거지역,15384.5,2907.3,666.2,0.0,0.0,0.0,0.0,공동주택,59.05,607.44,149.0,43.0,7.0,333,36,333.0,36.0
동대문구,용두동,재개발(도시정비형),추진위원회,조합설립추진위원회승인,일시중단,32,2933.2,19654.54,"도시지역,준주거지역",2380.0,553.2,0.0,0.0,0.0,0.0,0.0,공동주택 및 근린생활시설,45.8,486.33,50.0,15.0,4.0,112,0,112.0,0.0
동대문구,용두동,재개발(도시정비형),추진위원회,조합설립추진위원회승인,일시중단,19,1873.2,11564.3,"도시지역,준주거지역",1483.0,268.1,122.1,0.0,0.0,0.0,0.0,공동주택 및 근린생활시설,44.77,446.68,50.0,15.0,4.0,70,0,70.0,0.0
은평구,수색동,재개발(도시정비형),공공지원자,정비구역지정,일시중단,0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
중랑구,상봉동,재개발(도시정비형),추진위원회,조합설립추진위원회승인,일시중단,733,98342.1,404142.8,준주거지역,68227.8,10749.2,19365.1,0.0,0.0,0.0,0.0,"주거,판매,문화등",60.0,399.5,140.0,0.0,0.0,1835,308,1835.0,308.0
종로구,교남동,재개발(도시정비형),공공지원자,정비구역지정,일시중단,41,6801.4,56807.93,일반상업지역 제3종일반주거지역,5510.1,457.3,834.0,0.0,0.0,0.0,0.0,판매 및 업무시설,60.0,710.0,90.0,25.0,0.0,0,0,0.0,0.0
영등포구,영등포동,재개발(도시정비형),공공지원자,정비구역지정,일시중단,14,1785.4,0.0,일반상업지역,1315.0,470.4,0.0,0.0,0.0,0.0,0.0,"판매, 근린생활, 업무, 주거",60.0,7.6,50.0,14.0,2.0,26,0,26.0,0.0
영등포구,영등포동,재개발(도시정비형),공공지원자,정비구역지정,일시중단,260,1944.8,0.0,일반상업지역,1281.0,464.8,199.0,0.0,0.0,0.0,0.0,"판매, 근린생활, 업무, 주거",61.0,4.6,40.0,10.0,4.0,0,0,0.0,0.0
영등포구,영등포동,재개발(도시정비형),공공지원자,정비구역지정,일시중단,22,5264.8,0.0,일반상업지역,3796.0,970.8,498.0,0.0,0.0,0.0,0.0,"판매, 근린생활, 업무, 주거",54.0,6.2,80.0,25.0,3.0,74,0,74.0,0.0
영등포구,영등포동,재개발(도시정비형),공공지원자,정비계획 수립,일시중단,0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
은평구,수색동,재개발(도시정비형),조합,조합설립인가,일시중단,30,4424.0,23281.0,준주거지역,0.0,1165.0,0.0,0.0,0.0,0.0,0.0,공동주택,49.8,399.85,0.0,23.0,4.0,0,0,0.0,0.0
영등포구,영등포동,재개발(도시정비형),공공지원자,정비구역지정,일시중단,65,11010.1,0.0,준주거지역,7207.0,3803.1,0.0,0.0,0.0,0.0,0.0,"근린생활, 업무, 주거",43.0,3.9,60.0,18.0,2.0,141,0,141.0,0.0
영등포구,영등포동,재개발(도시정비형),공공지원자,정비구역지정,일시중단,16,3451.4,0.0,일반상업지역,2470.0,959.4,22.0,0.0,0.0,0.0,0.0,"판매, 근린생활, 업무, 주거",44.0,4.8,80.0,19.0,4.0,48,0,48.0,0.0
영등포구,영등포동,재개발(도시정비형),공공지원자,정비구역지정,일시중단,14,2805.2,0.0,일반상업지역,1740.0,1065.2,0.0,0.0,0.0,0.0,0.0,"판매, 근린생활, 업무, 주거",54.0,630.0,100.0,26.0,3.0,45,0,45.0,0.0
영등포구,영등포동,재개발(도시정비형),공공지원자,정비구역지정,일시중단,10,2272.0,0.0,일반상업지역,1540.0,732.0,0.0,0.0,0.0,0.0,0.0,"판매, 근린생활, 업무, 주거",55.0,780.0,100.0,27.0,4.0,49,0,49.0,0.0
영등포구,영등포동,재개발(도시정비형),공공지원자,정비구역지정,일시중단,116,3596.6,0.0,일반상업지역,2415.0,1181.6,0.0,0.0,0.0,0.0,0.0,"근린생활, 업무, 주거",65.0,570.0,60.0,18.0,4.0,115,0,115.0,0.0
영등포구,영등포동,재개발(도시정비형),공공지원자,정비구역지정,일시중단,50,5395.1,0.0,일반상업지역,3061.0,2334.1,0.0,0.0,0.0,0.0,0.0,"판매, 근린생활, 업무, 주거",65.0,600.0,70.0,22.0,4.0,60,0,60.0,0.0
영등포구,영등포동,재개발(도시정비형),공공지원자,정비구역지정,일시중단,17,1759.1,0.0,일반상업지역,1352.0,407.1,0.0,0.0,0.0,0.0,0.0,"판매, 근린생활, 업무, 주거",60.0,6.9,50.0,14.0,3.0,28,0,28.0,0.0
영등포구,영등포동,재개발(도시정비형),공공지원자,정비구역지정,일시중단,54,9620.6,0.0,"일반상업지역, 준주거지역",6228.0,2874.6,518.0,0.0,0.0,0.0,0.0,"근린생활, 업무,주거",49.0,4.0,80.0,25.0,3.0,122,0,122.0,0.0
영등포구,영등포동,재개발(도시정비형),공공지원자,정비구역지정,일시중단,23,4614.7,0.0,일반상업지역,3222.0,1392.7,0.0,0.0,0.0,0.0,0.0,"판매, 근린생활, 업무, 주거",57.0,6.4,80.0,25.0,3.0,63,0,63.0,0.0
영등포구,영등포동,재개발(도시정비형),공공지원자,정비구역지정,일시중단,46,6887.4,0.0,"일반상업지역, 준주거지역",4278.0,1816.4,793.0,0.0,0.0,0.0,0.0,"근린생활, 업무, 주거",44.0,390.0,50.0,15.0,3.0,87,0,87.0,0.0
영등포구,영등포동,재개발(도시정비형),공공지원자,정비구역지정,일시중단,33,314.65,0.0,일반상업지역,1951.0,1195.5,0.0,0.0,0.0,0.0,0.0,"판매, 근린생활, 업무, 주거",55.0,590.0,80.0,23.0,3.0,47,0,47.0,0.0
영등포구,영등포동,재개발(도시정비형),공공지원자,정비구역지정,일시중단,26,4021.1,0.0,일반상업지역,2799.0,1222.1,0.0,0.0,0.0,0.0,0.0,"판매, 근린생활, 업무, 주거",60.0,780.0,60.0,25.0,3.0,89,0,89.0,0.0
영등포구,영등포동,재개발(도시정비형),공공지원자,정비구역지정,일시중단,61,11263.5,0.0,"일반상업지역, 준주거징역",7997.0,3266.5,0.0,0.0,0.0,0.0,0.0,"근린생활, 업무, 주거",56.0,3.9,70.0,21.0,3.0,156,0,156.0,0.0
영등포구,영등포동,재개발(도시정비형),공공지원자,정비구역지정,일시중단,48,2184.6,0.0,일반상업지역,1712.0,472.6,0.0,0.0,0.0,0.0,0.0,"판매, 근린생활, 업무, 주거",63.0,580.0,60.0,17.0,4.0,0,0,0.0,0.0
영등포구,영등포동,재개발(도시정비형),공공지원자,정비구역지정,일시중단,33,4904.8,0.0,일반상업지역,3018.0,1367.8,519.0,0.0,0.0,0.0,0.0,"판매, 근린생활, 업무, 주거",58.0,700.0,90.0,25.0,4.0,59,0,59.0,0.0
